Mode,Aggregation,Attack,Query-policy contrast,AUC difference ± SD [95% CI],Checkpoints
ideal_shot,mean_api_probabilities,entropy,single_shot_512_minus_128,"0.006 ± 0.010 [-0.001, 0.013]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv,equal_total_20x128_minus_1x2560,"0.002 ± 0.012 [-0.007, 0.010]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv,equal_total_5x512_minus_1x2560,"0.001 ± 0.010 [-0.006, 0.007]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv,repeat_20x128_minus_1x128,"0.011 ± 0.014 [0.000, 0.021]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv,repeat_5x128_minus_1x128,"0.006 ± 0.016 [-0.008, 0.014]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv,single_shot_2560_minus_128,"0.009 ± 0.016 [-0.003, 0.020]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv,single_shot_512_minus_128,"0.003 ± 0.015 [-0.008, 0.013]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv_mean_std,equal_total_20x128_minus_1x2560,"0.010 ± 0.015 [-0.001, 0.021]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv_mean_std,equal_total_5x512_minus_1x2560,"0.011 ± 0.015 [0.001, 0.022]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv_mean_std,repeat_20x128_minus_1x128,"0.010 ± 0.017 [-0.003, 0.022]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv_mean_std,repeat_5x128_minus_1x128,"0.004 ± 0.010 [-0.004, 0.011]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv_mean_std,single_shot_2560_minus_128,"-0.000 ± 0.016 [-0.012, 0.012]",6
ideal_shot,mean_api_probabilities,learned_mlp_pv_mean_std,single_shot_512_minus_128,"0.001 ± 0.016 [-0.011, 0.013]",6
ideal_shot,mean_api_probabilities,loss,equal_total_20x128_minus_1x2560,"-0.002 ± 0.006 [-0.006, 0.003]",6
ideal_shot,mean_api_probabilities,loss,equal_total_5x512_minus_1x2560,"-0.002 ± 0.002 [-0.004, -0.000]",6
ideal_shot,mean_api_probabilities,loss,repeat_20x128_minus_1x128,"0.012 ± 0.007 [0.008, 0.017]",6
ideal_shot,mean_api_probabilities,loss,repeat_5x128_minus_1x128,"0.010 ± 0.006 [0.006, 0.014]",6
ideal_shot,mean_api_probabilities,loss,single_shot_2560_minus_128,"0.014 ± 0.010 [0.006, 0.021]",6
ideal_shot,mean_api_probabilities,loss,single_shot_512_minus_128,"0.010 ± 0.009 [0.002, 0.016]",6
ideal_shot,mean_api_probabilities,margin,equal_total_20x128_minus_1x2560,"-0.001 ± 0.006 [-0.005, 0.003]",6
ideal_shot,mean_api_probabilities,margin,equal_total_5x512_minus_1x2560,"-0.002 ± 0.003 [-0.004, 0.000]",6
ideal_shot,mean_api_probabilities,margin,repeat_20x128_minus_1x128,"0.013 ± 0.006 [0.009, 0.018]",6
ideal_shot,mean_api_probabilities,margin,repeat_5x128_minus_1x128,"0.012 ± 0.003 [0.009, 0.014]",6
ideal_shot,mean_api_probabilities,margin,single_shot_2560_minus_128,"0.014 ± 0.008 [0.008, 0.019]",6
ideal_shot,mean_api_probabilities,margin,single_shot_512_minus_128,"0.011 ± 0.008 [0.004, 0.016]",6
noisy_shot,mean_api_probabilities,confidence,equal_total_20x128_minus_1x2560,"-0.005 ± 0.006 [-0.010, -0.001]",6
noisy_shot,mean_api_probabilities,confidence,equal_total_5x512_minus_1x2560,"-0.003 ± 0.003 [-0.005, -0.000]",6
noisy_shot,mean_api_probabilities,confidence,repeat_20x128_minus_1x128,"0.018 ± 0.022 [0.004, 0.034]",6
noisy_shot,mean_api_probabilities,confidence,repeat_5x128_minus_1x128,"0.011 ± 0.017 [-0.002, 0.024]",6
noisy_shot,mean_api_probabilities,confidence,single_shot_2560_minus_128,"0.023 ± 0.027 [0.005, 0.043]",6
noisy_shot,mean_api_probabilities,confidence,single_shot_512_minus_128,"0.016 ± 0.018 [0.005, 0.030]",6
noisy_shot,mean_api_probabilities,correctness,equal_total_20x128_minus_1x2560,"-0.004 ± 0.005 [-0.008, -0.000]",6
noisy_shot,mean_api_probabilities,correctness,equal_total_5x512_minus_1x2560,"-0.000 ± 0.006 [-0.005, 0.004]",6
noisy_shot,mean_api_probabilities,correctness,repeat_20x128_minus_1x128,"0.015 ± 0.019 [0.001, 0.028]",6
noisy_shot,mean_api_probabilities,correctness,repeat_5x128_minus_1x128,"0.015 ± 0.012 [0.006, 0.023]",6
noisy_shot,mean_api_probabilities,correctness,single_shot_2560_minus_128,"0.018 ± 0.018 [0.005, 0.030]",6
noisy_shot,mean_api_probabilities,correctness,single_shot_512_minus_128,"0.016 ± 0.013 [0.007, 0.025]",6
noisy_shot,mean_api_probabilities,entropy,equal_total_20x128_minus_1x2560,"-0.007 ± 0.008 [-0.013, -0.001]",6
noisy_shot,mean_api_probabilities,entropy,equal_total_5x512_minus_1x2560,"-0.003 ± 0.004 [-0.006, 0.000]",6
noisy_shot,mean_api_probabilities,entropy,repeat_20x128_minus_1x128,"0.013 ± 0.015 [0.004, 0.026]",6
noisy_shot,mean_api_probabilities,entropy,repeat_5x128_minus_1x128,"0.008 ± 0.011 [-0.000, 0.016]",6
noisy_shot,mean_api_probabilities,entropy,single_shot_2560_minus_128,"0.020 ± 0.021 [0.007, 0.037]",6
noisy_shot,mean_api_probabilities,entropy,single_shot_512_minus_128,"0.014 ± 0.014 [0.005, 0.025]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv,equal_total_20x128_minus_1x2560,"0.007 ± 0.010 [-0.001, 0.015]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv,equal_total_5x512_minus_1x2560,"0.005 ± 0.005 [0.001, 0.009]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv,repeat_20x128_minus_1x128,"0.018 ± 0.019 [0.003, 0.030]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv,repeat_5x128_minus_1x128,"0.007 ± 0.009 [-0.000, 0.013]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv,single_shot_2560_minus_128,"0.011 ± 0.021 [-0.004, 0.026]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv,single_shot_512_minus_128,"0.006 ± 0.015 [-0.006, 0.016]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv_mean_std,equal_total_20x128_minus_1x2560,"0.009 ± 0.012 [0.001, 0.018]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv_mean_std,equal_total_5x512_minus_1x2560,"-0.001 ± 0.012 [-0.010, 0.007]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv_mean_std,repeat_20x128_minus_1x128,"0.024 ± 0.023 [0.007, 0.040]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv_mean_std,repeat_5x128_minus_1x128,"0.008 ± 0.015 [-0.003, 0.019]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv_mean_std,single_shot_2560_minus_128,"0.015 ± 0.015 [0.004, 0.026]",6
noisy_shot,mean_api_probabilities,learned_mlp_pv_mean_std,single_shot_512_minus_128,"0.007 ± 0.018 [-0.007, 0.019]",6
noisy_shot,mean_api_probabilities,loss,equal_total_20x128_minus_1x2560,"-0.005 ± 0.005 [-0.009, -0.001]",6
noisy_shot,mean_api_probabilities,loss,equal_total_5x512_minus_1x2560,"-0.002 ± 0.003 [-0.004, -0.000]",6
noisy_shot,mean_api_probabilities,loss,repeat_20x128_minus_1x128,"0.023 ± 0.010 [0.016, 0.031]",6
noisy_shot,mean_api_probabilities,loss,repeat_5x128_minus_1x128,"0.016 ± 0.008 [0.011, 0.022]",6
noisy_shot,mean_api_probabilities,loss,single_shot_2560_minus_128,"0.028 ± 0.014 [0.019, 0.039]",6
noisy_shot,mean_api_probabilities,loss,single_shot_512_minus_128,"0.020 ± 0.011 [0.012, 0.028]",6
noisy_shot,mean_api_probabilities,margin,equal_total_20x128_minus_1x2560,"-0.004 ± 0.005 [-0.007, -0.000]",6
noisy_shot,mean_api_probabilities,margin,equal_total_5x512_minus_1x2560,"-0.003 ± 0.002 [-0.004, -0.001]",6
noisy_shot,mean_api_probabilities,margin,repeat_20x128_minus_1x128,"0.022 ± 0.025 [0.003, 0.040]",6
noisy_shot,mean_api_probabilities,margin,repeat_5x128_minus_1x128,"0.014 ± 0.021 [-0.002, 0.029]",6
noisy_shot,mean_api_probabilities,margin,single_shot_2560_minus_128,"0.026 ± 0.028 [0.007, 0.048]",6
noisy_shot,mean_api_probabilities,margin,single_shot_512_minus_128,"0.018 ± 0.019 [0.006, 0.033]",6
