Outcome,Attack,Factor,Contrast,Effect ± SD [95% CI],Blocks
auc,global_true_class_log_odds,feature_map,Z - EfficientSU2,"0.020 ± 0.026 [-0.010, 0.039]",3
auc,global_true_class_log_odds,feature_map,ZZ - EfficientSU2,"0.092 ± 0.017 [0.073, 0.102]",3
auc,global_true_class_log_odds,feature_map,ZZ - Z,"0.072 ± 0.010 [0.062, 0.083]",3
auc,lira_offline,repetitions,5 - 1,"0.003 ± 0.014 [-0.013, 0.016]",3
auc,lira_offline,feature_map,Z - EfficientSU2,"-0.001 ± 0.031 [-0.026, 0.034]",3
auc,lira_offline,feature_map,ZZ - EfficientSU2,"0.004 ± 0.039 [-0.031, 0.047]",3
auc,lira_offline,feature_map,ZZ - Z,"0.005 ± 0.022 [-0.020, 0.022]",3
auc,lira_offline_fixed_variance,repetitions,5 - 1,"0.008 ± 0.012 [-0.005, 0.017]",3
auc,lira_offline_fixed_variance,feature_map,Z - EfficientSU2,"-0.017 ± 0.021 [-0.030, 0.008]",3
auc,lira_offline_fixed_variance,feature_map,ZZ - EfficientSU2,"0.000 ± 0.029 [-0.033, 0.020]",3
auc,lira_offline_fixed_variance,feature_map,ZZ - Z,"0.017 ± 0.025 [-0.006, 0.043]",3
auc,lira_online,repetitions,5 - 1,"0.018 ± 0.014 [0.007, 0.033]",3
auc,lira_online,feature_map,Z - EfficientSU2,"0.009 ± 0.053 [-0.052, 0.046]",3
auc,lira_online,feature_map,ZZ - EfficientSU2,"0.023 ± 0.052 [-0.022, 0.080]",3
auc,lira_online,feature_map,ZZ - Z,"0.014 ± 0.032 [-0.023, 0.034]",3
auc,lira_online_fixed_variance,repetitions,5 - 1,"0.020 ± 0.019 [-0.001, 0.035]",3
auc,lira_online_fixed_variance,feature_map,Z - EfficientSU2,"0.016 ± 0.038 [-0.026, 0.048]",3
auc,lira_online_fixed_variance,feature_map,ZZ - EfficientSU2,"0.050 ± 0.041 [0.016, 0.096]",3
auc,lira_online_fixed_variance,feature_map,ZZ - Z,"0.034 ± 0.039 [-0.010, 0.065]",3
auc,label_only_correctness,repetitions,5 - 1,"0.058 ± 0.008 [0.052, 0.064]",5
auc,label_only_correctness,depth,6 - 2,"0.059 ± 0.007 [0.053, 0.064]",5
auc,label_only_correctness,feature_map,Z - EfficientSU2,"0.033 ± 0.004 [0.031, 0.036]",5
auc,label_only_correctness,feature_map,ZZ - EfficientSU2,"0.087 ± 0.004 [0.084, 0.090]",5
auc,label_only_correctness,feature_map,ZZ - Z,"0.053 ± 0.007 [0.048, 0.059]",5
auc,label_only_hsj_l2,repetitions,5 - 1,"0.069 ± 0.005 [0.065, 0.073]",5
auc,label_only_hsj_l2,depth,6 - 2,"0.065 ± 0.013 [0.056, 0.075]",5
auc,label_only_hsj_l2,feature_map,Z - EfficientSU2,"0.032 ± 0.019 [0.016, 0.046]",5
auc,label_only_hsj_l2,feature_map,ZZ - EfficientSU2,"0.083 ± 0.011 [0.073, 0.090]",5
auc,label_only_hsj_l2,feature_map,ZZ - Z,"0.051 ± 0.013 [0.041, 0.061]",5
