Outcome,Attack,Factor,Contrast,Effect ± SD [95% CI],Blocks
auc,lira_online_fixed_variance,depth,6 - 2,"0.019 ± 0.012 [0.012, 0.027]",8
auc,lira_online_fixed_variance,feature_map,Z - EfficientSU2,"0.001 ± 0.019 [-0.011, 0.013]",8
auc,lira_online_fixed_variance,feature_map,ZZ - EfficientSU2,"0.017 ± 0.022 [0.002, 0.030]",8
auc,lira_online_fixed_variance,feature_map,ZZ - Z,"0.015 ± 0.021 [0.001, 0.029]",8
auc,label_only_correctness,repetitions,5 - 1,"0.025 ± 0.014 [0.017, 0.034]",8
auc,label_only_correctness,depth,6 - 2,"0.006 ± 0.005 [0.002, 0.008]",8
auc,label_only_correctness,feature_map,Z - EfficientSU2,"0.007 ± 0.006 [0.003, 0.011]",8
auc,label_only_correctness,feature_map,ZZ - EfficientSU2,"0.011 ± 0.007 [0.007, 0.015]",8
auc,label_only_correctness,feature_map,ZZ - Z,"0.004 ± 0.003 [0.002, 0.006]",8
auc,label_only_hsj_l2,repetitions,5 - 1,"0.019 ± 0.013 [0.010, 0.027]",8
auc,label_only_hsj_l2,depth,6 - 2,"0.006 ± 0.012 [-0.002, 0.014]",8
auc,label_only_hsj_l2,feature_map,Z - EfficientSU2,"0.003 ± 0.014 [-0.006, 0.012]",8
auc,label_only_hsj_l2,feature_map,ZZ - EfficientSU2,"0.008 ± 0.013 [-0.000, 0.017]",8
auc,label_only_hsj_l2,feature_map,ZZ - Z,"0.004 ± 0.013 [-0.004, 0.012]",8
